config	mode	utc	local	action	rule	az	el	pv15	pv45	wind	gust	bezet
V2	A	2026-09-18T17:30:00+02:00	2026-09-18 17:30	open	R7 edge	245	20.3	1426	1455	9.648	20.916	False
V2	A	2026-09-20T14:00:00+02:00	2026-09-20 14:00	closed	R5 close	188	38.9	2211	1275	25.92	44.46	False
V2	A	2026-09-20T17:35:00+02:00	2026-09-20 17:35	open	R7 edge	246	18.8	672	862	11.268	25.74	False
V2	A	2026-09-21T10:50:00+02:00	2026-09-21 10:50	closed	R5 close	132	28.2	2092	1794	11.124	0	True
V2	A	2026-09-21T17:35:00+02:00	2026-09-21 17:35	open	R7 edge	246	18.4	1629	1845	11.124	0	True
V2	B	2026-09-12T10:45:00+02:00	2026-09-12 10:45	closed	R5 close	128	30.3	2042	1842	18.504	0	True
V2	B	2026-09-12T17:25:00+02:00	2026-09-12 17:25	open	R7 edge	245	23.2	288	533	25.92	0	False
V2	B	2026-09-13T14:25:00+02:00	2026-09-13 14:25	closed	R5 close	196	40.8	2381	1691	11.124	0	False
V2	B	2026-09-13T17:30:00+02:00	2026-09-13 17:30	open	R7 edge	246	22.1	233	420	12.96	0	False
V2	B	2026-09-15T10:50:00+02:00	2026-09-15 10:50	closed	R5 close	130	30.0	2040	1712	14.832	0	True
V2	B	2026-09-16T11:00:00+02:00	2026-09-16 11:00	closed	R5 close	133	30.9	2160	1213	9.252	0	True
V2	B	2026-09-16T14:50:00+02:00	2026-09-16 14:50	open	R6 dull+occupied	204	38.3	371	691	14.832	0	True
V2	B	2026-09-18T10:35:00+02:00	2026-09-18 10:35	closed	R5 close	127	27.3	2019	1746	14.832	0	False
V2	B	2026-09-18T17:30:00+02:00	2026-09-18 17:30	open	R7 edge	245	20.3	1426	1455	9.648	20.916	False
V2	B	2026-09-20T14:00:00+02:00	2026-09-20 14:00	closed	R5 close	188	38.9	2211	1275	25.92	44.46	False
V2	B	2026-09-20T17:35:00+02:00	2026-09-20 17:35	open	R7 edge	246	18.8	672	862	11.268	25.74	False
V2	B	2026-09-21T10:50:00+02:00	2026-09-21 10:50	closed	R5 close	132	28.2	2092	1794	11.124	0	True
